,city_name,housing_units,housing_density,change_hunits,percent_of_rent_to_total,owned_homes,med_homeval,med_rental_rate,med_owner_cost,med_own_cost_aspercentof_income,med_hval_aspercentof_medearn,med_hcost_ownmortg,med_hcost_own_wo_mortg,hcost_aspercentof_hincome_ownmortg,hcost_as_perc_of_hincome_womortg,med_real_estate_taxes,family_members_per_hunit,median_num_ofrooms,median_year_house_built,household_size_of_howners,household_size_for_renters,med_year_moved_in_for_owners,med_year_renter_moved_in,studio_1000_1499,studio_1500_more,studio_750_999,onebed_1000_1499,onebed_1500_more,onebed_750_999,twobed_1000_1499,twobed_1500_more,twobed_750_999,threebed_1000_1499,threebed_1500_more,threebed_750_999
13,Arcadia,21253.0,1945.3,2.7,39.8,60.2,994400.0,1481.0,2287.0,23.0,1598.0,3248.0,809.0,27.0,13.0,6663.0,3.4,5.5,1965.0,3.0,2.9,2001.0,2012.0,0.683,0.146,0.139,0.743,0.055,0.12,0.462,0.481,0.022,0.075,0.79,0.0
14,Arcata,7919.0,871.0,2.6,62.7,37.3,335400.0,939.0,807.0,20.0,790.0,1509.0,456.0,26.0,12.0,1972.0,2.9,4.3,1972.0,2.2,2.3,1997.0,2013.0,0.0,0.0,0.421,0.06,0.022,0.461,0.496,0.106,0.285,0.087,0.725,0.045
15,Arroyo Grande,7847.0,1345.3,2.9,30.2,69.8,510400.0,1169.0,1631.0,20.0,894.0,2147.0,505.0,23.0,11.0,3670.0,3.1,5.4,1979.0,2.5,2.3,2003.0,2012.0,0.0,0.27,0.73,0.432,0.057,0.261,0.416,0.227,0.261,0.035,0.774,0.166
16,Artesia,4780.0,2949.4,1.8,49.4,50.6,437200.0,1471.0,1167.0,18.0,1093.0,1987.0,398.0,25.0,10.0,2844.0,4.2,5.0,1964.0,3.7,3.6,1996.0,2010.0,0.453,0.47,0.077,0.529,0.301,0.152,0.563,0.342,0.056,0.119,0.696,0.009
17,Arvin,5010.0,1039.6,11.9,54.0,46.0,132300.0,836.0,962.0,22.0,608.0,1113.0,338.0,27.0,11.0,1831.0,4.7,5.0,1985.0,4.3,4.5,2003.0,2012.0,0.0,0.0,0.0,0.019,0.0,0.09,0.044,0.036,0.326,0.417,0.031,0.371
18,Atascadero,11792.0,452.1,2.5,37.5,62.5,433900.0,1289.0,1756.0,22.0,768.0,2069.0,514.0,25.0,10.0,3269.0,3.2,5.4,1980.0,2.6,2.5,2004.0,2012.0,0.0,0.274,0.373,0.279,0.014,0.341,0.663,0.147,0.117,0.152,0.692,0.048
19,Atwater city-CA,9354.0,1529.9,-4.3,49.3,50.7,179400.0,942.0,1078.0,20.0,505.0,1355.0,400.0,22.0,12.0,1455.0,3.9,5.4,1977.0,3.0,3.5,2005.0,2012.0,0.0,0.0,0.185,0.039,0.0,0.171,0.099,0.019,0.345,0.583,0.066,0.221
20,Auburn city-CA,6220.0,869.4,1.3,44.7,55.3,393500.0,1106.0,1585.0,23.0,871.0,2036.0,579.0,27.0,12.0,3257.0,3.0,5.3,1977.0,2.3,2.2,2002.0,,0.262,0.427,0.252,0.246,0.055,0.178,0.574,0.081,0.274,0.269,0.485,0.065
21,Avenal city-CA,2339.0,120.4,-2.9,55.2,44.8,129900.0,744.0,734.0,16.0,447.0,795.0,331.0,26.0,10.0,972.0,4.5,4.6,1984.0,4.4,4.1,1998.0,2012.0,0.0,0.0,0.0,0.14,0.0,0.14,0.148,0.009,0.18,0.272,0.0,0.501
22,Azusa,13576.0,1405.9,1.4,47.1,52.9,367500.0,1316.0,1598.0,24.0,997.0,1925.0,428.0,28.0,10.0,2715.0,4.1,4.6,1971.0,3.4,3.5,2003.0,2011.0,0.271,0.017,0.428,0.652,0.038,0.216,0.634,0.231,0.042,0.136,0.609,0.063
23,Bakersfield city-CA,122829.0,826.2,1.7,43.0,57.0,228400.0,1035.0,1383.0,21.0,512.0,1614.0,469.0,23.0,10.0,2554.0,3.8,5.3,1987.0,3.2,3.2,2006.0,2013.0,0.13,0.042,0.228,0.136,0.046,0.293,0.318,0.056,0.43,0.404,0.358,0.137
24,Baldwin Park,18810.0,2836.6,6.1,43.5,56.5,357500.0,1357.0,1478.0,23.0,1119.0,1797.0,393.0,28.0,10.0,2912.0,4.7,4.9,1964.0,4.3,4.3,1999.0,2011.0,0.255,0.0,0.285,0.432,0.027,0.352,0.623,0.233,0.093,0.242,0.626,0.027
25,Banning,11892.0,514.8,-2.1,36.2,63.8,197500.0,990.0,770.0,23.0,602.0,1325.0,486.0,28.0,17.0,2078.0,3.6,5.2,1984.0,2.3,3.5,2005.0,2012.0,0.411,0.0,0.134,0.068,0.0,0.386,0.248,0.126,0.34,0.425,0.307,0.133
26,Barstow city-CA,9361.0,226.4,-2.0,54.9,45.1,99900.0,719.0,739.0,15.0,257.0,1080.0,341.0,19.0,10.0,805.0,3.6,4.7,1970.0,2.8,2.9,2001.0,2013.0,0.0,0.0,0.0,0.009,0.013,0.087,0.034,0.016,0.306,0.452,0.012,0.307
27,Beaumont,13896.0,448.7,7.7,25.9,74.1,275200.0,1239.0,1686.0,24.0,531.0,1924.0,605.0,26.0,13.0,4692.0,3.8,6.1,2003.0,3.2,3.5,2009.0,2012.0,0.0,0.0,0.222,0.02,0.027,0.354,0.249,0.158,0.445,0.159,0.679,0.057
28,Bell Gardens,9881.0,4019.0,-1.1,77.8,22.2,347300.0,1153.0,1442.0,27.0,1357.0,1760.0,346.0,33.0,10.0,3173.0,4.7,4.1,1958.0,4.5,4.4,2000.0,2010.0,0.058,0.016,0.383,0.288,0.008,0.49,0.757,0.067,0.152,0.341,0.565,0.037
29,Bellflower,25127.0,4107.3,0.9,60.0,40.0,398000.0,1263.0,1651.0,22.0,991.0,2044.0,441.0,27.0,10.0,3059.0,4.0,4.4,1962.0,3.6,3.1,2002.0,2011.0,0.309,0.108,0.265,0.486,0.027,0.344,0.584,0.313,0.052,0.098,0.769,0.047
30,Belmont,10762.0,2326.7,-2.4,40.0,60.0,1174200.0,1913.0,2947.0,20.0,1090.0,3763.0,757.0,23.0,10.0,8167.0,3.2,5.2,1965.0,2.8,2.2,2000.0,2012.0,0.228,0.439,0.211,0.183,0.749,0.03,0.013,0.93,0.022,0.028,0.803,0.061
31,Belvedere,1079.0,2077.5,3.3,19.2,80.8,2000001.0,2408.0,3694.0,20.0,987.0,4001.0,1501.0,31.0,12.0,10001.0,2.8,6.6,1958.0,2.2,2.2,1995.0,2011.0,0.0,0.0,0.0,0.138,0.862,0.0,0.065,0.857,0.078,0.143,0.814,0.0
32,Berkeley city-CA,49137.0,4695.0,-0.6,57.1,42.9,861800.0,1523.0,2218.0,20.0,1265.0,2977.0,821.0,24.0,10.0,6720.0,3.0,4.4,1941.0,2.5,2.2,1997.0,2012.0,0.356,0.219,0.21,0.353,0.41,0.079,0.195,0.654,0.067,0.186,0.635,0.051
33,Beverly Hills,17145.0,3003.6,4.6,58.9,41.1,2000001.0,2036.0,3685.0,26.0,2422.0,4001.0,1501.0,32.0,16.0,10001.0,3.2,4.7,1953.0,2.7,2.0,1999.0,2012.0,0.488,0.298,0.091,0.199,0.691,0.021,0.067,0.885,0.008,0.079,0.804,0.0
34,Big Bear Lake,9586.0,1510.4,-1.2,44.2,55.8,384100.0,925.0,1292.0,21.0,928.0,1843.0,617.0,24.0,16.0,2994.0,3.1,4.5,1977.0,2.3,2.5,2003.0,2012.0,0.0,0.0,0.0,0.14,0.056,0.042,0.331,0.0,0.326,0.55,0.259,0.117
35,Biggs,610.0,959.7,-1.1,38.8,61.2,151100.0,888.0,1112.0,20.0,431.0,1174.0,450.0,22.0,12.0,1092.0,3.9,5.2,1976.0,3.3,3.6,1997.0,2011.0,0.0,,0.0,0.0,,0.0,0.173,,0.357,0.46,,0.355
36,Bishop,1881.0,1009.2,-2.3,57.2,42.8,286800.0,873.0,753.0,16.0,618.0,1709.0,475.0,28.0,10.0,1485.0,3.4,4.4,1967.0,2.5,1.8,2003.0,2011.0,0.0,0.113,0.258,0.068,0.0,0.486,0.234,0.039,0.405,0.574,0.426,0.0
37,Blue Lake,554.0,934.5,-3.1,45.1,54.9,254000.0,1053.0,1092.0,17.0,716.0,1520.0,353.0,27.0,10.0,1289.0,2.7,4.9,1955.0,2.2,2.7,2002.0,2011.0,0.0,0.0,0.0,0.091,0.0,0.303,0.818,0.0,0.17,0.476,0.061,0.061
38,Blythe city-CA,6426.0,245.4,17.4,46.7,53.3,134000.0,720.0,864.0,20.0,328.0,1306.0,428.0,24.0,12.0,1024.0,3.5,4.6,1973.0,2.6,2.6,2001.0,2012.0,0.0,0.0,0.058,0.19,0.0,0.181,0.057,0.032,0.31,0.242,0.112,0.175
39,Bradbury,418.0,213.5,4.5,16.8,83.2,1595200.0,1188.0,3227.0,26.0,1810.0,4001.0,1500.0,30.0,14.0,10001.0,3.4,7.7,1973.0,3.0,3.8,2000.0,2008.0,0.0,0.0,0.0,0.333,0.0,0.667,0.0,0.25,0.0,0.162,0.081,0.0
40,Brawley city-CA,8465.0,1102.0,2.8,47.3,52.7,158000.0,822.0,974.0,19.0,421.0,1256.0,449.0,22.0,14.0,1406.0,4.4,5.0,1982.0,3.5,3.8,2000.0,2012.0,0.0,0.0,0.056,0.06,0.0,0.174,0.212,0.008,0.385,0.327,0.177,0.249
41,Brea,15616.0,1280.7,5.6,38.9,61.1,610700.0,1698.0,2132.0,23.0,962.0,2545.0,598.0,26.0,11.0,4050.0,3.3,5.6,1976.0,2.9,2.6,2001.0,2012.0,0.553,0.322,0.048,0.402,0.374,0.098,0.181,0.763,0.013,0.085,0.851,0.026
42,Brentwood,19624.0,1321.4,12.0,25.1,74.9,482600.0,2038.0,2240.0,24.0,686.0,2548.0,770.0,26.0,14.0,5422.0,3.5,6.8,2002.0,3.0,3.4,2007.0,2012.0,0.0,0.44,0.56,0.36,0.034,0.154,0.218,0.565,0.098,0.109,0.832,0.02
43,Brisbane,1948.0,629.3,0.7,29.2,70.8,699800.0,1698.0,2344.0,25.0,958.0,3214.0,598.0,30.0,14.0,5863.0,3.2,5.0,1981.0,2.6,2.0,2004.0,2010.0,1.0,0.0,0.0,0.395,0.425,0.14,0.248,0.626,0.126,0.0,1.0,0.0
44,Buellton,2033.0,1285.0,10.2,29.8,70.2,410200.0,1357.0,1553.0,22.0,785.0,1988.0,393.0,24.0,12.0,2810.0,3.2,5.0,1982.0,2.5,3.0,2003.0,2011.0,0.367,0.0,0.139,1.0,0.0,0.0,0.509,0.0,0.106,0.172,0.744,0.0
45,Buena Park,24060.0,2287.1,-2.3,45.1,54.9,482300.0,1484.0,1879.0,22.0,1105.0,2189.0,461.0,26.0,10.0,3227.0,4.0,5.3,1963.0,3.5,3.6,2000.0,2012.0,0.521,0.0,0.32,0.611,0.11,0.147,0.522,0.437,0.009,0.134,0.793,0.005
46,Burbank,43323.0,2496.4,-2.2,59.0,41.0,646000.0,1539.0,2202.0,22.0,1112.0,2694.0,542.0,27.0,11.0,3990.0,3.3,4.4,1959.0,2.8,2.3,2000.0,2011.0,0.419,0.301,0.198,0.538,0.227,0.098,0.205,0.738,0.035,0.147,0.789,0.022
47,Burlingame,12691.0,2880.8,-2.6,52.1,47.9,1591600.0,1961.0,3191.0,20.0,1708.0,4001.0,878.0,24.0,11.0,7763.0,3.2,4.7,1958.0,2.9,2.1,1999.0,2012.0,0.333,0.527,0.102,0.29,0.686,0.017,0.028,0.908,0.024,0.102,0.781,0.0
48,Calabasas,9353.0,682.4,5.4,30.1,69.9,976300.0,2289.0,3091.0,27.0,1105.0,3840.0,1107.0,30.0,12.0,7467.0,3.2,6.3,1984.0,2.8,2.5,2002.0,,0.362,0.5,,0.071,0.915,,0.019,0.937,,0.039,0.961,
49,Calexico city-CA,11196.0,1297.0,5.1,47.5,52.5,182900.0,859.0,1185.0,22.0,563.0,1383.0,430.0,26.0,11.0,1675.0,5.0,5.4,1992.0,4.6,4.1,2004.0,2011.0,0.0,0.0,0.0,0.092,0.0,0.069,0.102,0.0,0.447,0.45,0.131,0.154
50,California City,4833.0,23.7,-7.2,49.3,50.7,102000.0,915.0,850.0,17.0,250.0,1014.0,353.0,20.0,10.0,1027.0,3.5,5.3,1991.0,2.6,3.1,2004.0,,0.0,0.0,0.0,0.0,0.104,0.0,0.17,0.071,0.164,0.562,0.052,0.213
51,Calimesa,3866.0,260.4,4.9,16.1,83.9,168700.0,990.0,936.0,21.0,291.0,1582.0,468.0,26.0,16.0,1500.0,3.3,5.4,1976.0,2.5,2.7,2005.0,2010.0,0.0,0.0,0.0,0.0,0.341,0.0,0.296,0.0,0.292,0.369,0.38,0.166
52,Calipatria,1249.0,336.1,11.4,50.2,49.8,93200.0,722.0,771.0,20.0,240.0,915.0,275.0,22.0,10.0,905.0,4.2,4.8,1987.0,3.3,4.2,1998.0,,0.0,,0.0,0.0,,0.0,0.0,,0.352,0.251,,0.319
53,Calistoga,2330.0,896.8,0.5,41.1,58.9,475800.0,1153.0,1212.0,26.0,1122.0,2403.0,676.0,28.0,17.0,3612.0,3.3,4.8,1975.0,2.4,2.9,2000.0,2011.0,0.0,0.0,1.0,0.632,0.0,0.296,0.498,0.333,0.0,0.299,0.267,0.054
54,Camarillo city-CA,25535.0,1307.3,-0.6,32.9,67.1,541600.0,1868.0,2001.0,22.0,846.0,2453.0,588.0,25.0,10.0,3836.0,3.3,5.8,1980.0,2.7,2.7,2003.0,2013.0,0.34,0.503,0.038,0.408,0.42,0.086,0.17,0.749,0.028,0.05,0.883,0.002
55,Campbell,16898.0,2908.8,-0.3,50.1,49.9,884600.0,1923.0,2634.0,21.0,1155.0,3234.0,643.0,25.0,10.0,6124.0,3.2,4.7,1971.0,2.7,2.5,2002.0,2012.0,0.262,0.548,0.05,0.187,0.684,0.008,0.14,0.782,0.012,0.011,0.93,0.025
56,Canyon Lake,4584.0,1172.0,1.1,21.1,78.9,394900.0,1804.0,2072.0,25.0,627.0,2357.0,589.0,26.0,16.0,3405.0,3.3,6.3,1985.0,2.6,3.2,2005.0,2012.0,0.0,0.0,,1.0,0.0,,0.382,0.303,,0.069,0.845,
57,Capitola,5212.0,3271.5,-5.8,52.3,47.7,585100.0,1688.0,1585.0,25.0,1121.0,2390.0,574.0,28.0,18.0,4249.0,3.0,4.3,1973.0,2.1,2.3,2002.0,2012.0,0.178,0.144,0.511,0.487,0.399,0.113,0.222,0.677,0.013,0.038,0.717,0.189
58,Carlsbad,47119.0,1248.9,5.5,35.0,65.0,713600.0,1918.0,2557.0,22.0,885.0,3043.0,688.0,24.0,11.0,5451.0,3.1,5.7,1987.0,2.7,2.5,2005.0,2012.0,0.262,0.598,0.052,0.459,0.377,0.09,0.195,0.745,0.013,0.119,0.824,0.012
59,Carpinteria city-CA,5961.0,2305.2,9.8,47.0,53.0,617000.0,1764.0,1798.0,22.0,1292.0,2646.0,593.0,25.0,13.0,4474.0,3.3,4.9,1974.0,2.7,2.6,2001.0,2011.0,0.241,0.462,0.297,0.357,0.444,0.169,0.093,0.803,0.056,0.061,0.54,0.159
60,Carson,26119.0,1395.0,-0.4,25.5,74.5,402500.0,1445.0,1670.0,22.0,937.0,2070.0,424.0,25.0,10.0,3089.0,4.2,5.5,1965.0,3.5,3.9,1999.0,2011.0,0.236,0.274,0.284,0.218,0.205,0.249,0.489,0.268,0.066,0.204,0.643,0.032
61,Cathedral City,22279.0,1036.3,6.1,39.8,60.2,232400.0,1160.0,1179.0,25.0,679.0,1585.0,591.0,31.0,14.0,2517.0,3.9,4.7,1986.0,2.9,3.2,2005.0,2012.0,0.264,0.054,0.165,0.113,0.007,0.192,0.549,0.109,0.232,0.488,0.377,0.052
62,Ceres,13636.0,1461.8,-0.3,40.3,59.7,218300.0,1081.0,1250.0,23.0,578.0,1439.0,425.0,27.0,11.0,1673.0,4.0,5.5,1985.0,3.6,3.6,2005.0,2012.0,0.0,0.0,0.526,0.176,0.0,0.281,0.328,0.017,0.502,0.499,0.256,0.078
63,Cerritos,16370.0,1876.9,3.2,21.1,78.9,638600.0,2215.0,1803.0,20.0,992.0,2548.0,499.0,25.0,10.0,3818.0,3.6,6.1,1973.0,3.1,3.5,1994.0,2012.0,0.04,0.906,0.0,0.337,0.53,0.058,0.222,0.641,0.022,0.032,0.853,0.01
64,Chico city-CA,39872.0,1210.1,7.6,55.6,44.4,286700.0,977.0,1250.0,20.0,664.0,1658.0,491.0,23.0,11.0,2316.0,3.2,4.8,1981.0,2.5,2.4,2004.0,2013.0,0.078,0.037,0.18,0.111,0.029,0.394,0.369,0.041,0.421,0.37,0.402,0.129
65,Chino,20667.0,696.7,-5.2,36.7,63.3,400900.0,1516.0,1903.0,24.0,856.0,2146.0,516.0,27.0,10.0,3193.0,4.0,5.7,1982.0,3.5,3.4,2003.0,2012.0,0.368,0.395,0.046,0.528,0.064,0.233,0.511,0.367,0.041,0.122,0.737,0.038
66,Chino Hills,25145.0,562.7,6.5,23.1,76.9,567200.0,1939.0,2193.0,24.0,849.0,2489.0,691.0,26.0,12.0,4667.0,3.6,6.4,1989.0,3.3,3.0,2002.0,2013.0,0.817,0.183,0.0,0.215,0.695,0.082,0.162,0.811,0.0,0.103,0.815,0.014
67,Chula Vista,85426.0,1721.2,7.6,42.0,58.0,433500.0,1441.0,2069.0,24.0,878.0,2405.0,468.0,28.0,10.0,4195.0,3.9,5.1,1983.0,3.4,3.2,2005.0,2012.0,0.175,0.089,0.38,0.409,0.089,0.368,0.482,0.401,0.059,0.101,0.78,0.028
68,Citrus Heights,35309.0,2481.6,0.7,44.9,55.1,246600.0,1112.0,1321.0,22.0,554.0,1562.0,456.0,24.0,11.0,1834.0,3.2,5.2,1976.0,2.5,2.5,2003.0,2012.0,0.217,0.061,0.548,0.363,0.014,0.562,0.591,0.047,0.298,0.361,0.478,0.047
69,Claremont,12420.0,930.2,2.2,34.1,65.9,605700.0,1465.0,2116.0,21.0,805.0,2674.0,2674.0,24.0,10.0,4341.0,3.3,6.1,1965.0,2.9,2.3,1999.0,2012.0,0.532,0.13,0.12,0.325,0.065,0.443,0.345,0.486,0.084,0.111,0.77,0.049
70,Clayton,4308.0,1121.8,5.4,6.5,93.5,667400.0,2502.0,2806.0,22.0,660.0,3090.0,763.0,23.0,10.0,5685.0,3.3,7.1,1984.0,2.8,3.4,2001.0,2011.0,0.0,0.0,,0.314,0.371,,0.0,0.569,,0.0,0.899,
71,Clearlake city-CA,8370.0,826.3,4.2,50.2,49.8,93900.0,822.0,596.0,23.0,349.0,1107.0,386.0,32.0,15.0,1018.0,3.3,4.6,1976.0,2.2,2.6,2005.0,2012.0,0.0,0.0,0.0,0.035,0.028,0.102,0.244,0.0,0.359,0.312,0.165,0.276
72,Cloverdale,3331.0,1097.1,-2.8,31.7,68.3,355200.0,1171.0,1635.0,22.0,836.0,1880.0,529.0,23.0,13.0,3547.0,3.4,5.0,1986.0,2.7,2.8,2004.0,2011.0,0.0,0.0,0.0,0.203,0.091,0.137,0.553,0.15,0.196,0.201,0.799,0.0
73,Clovis,37217.0,1545.9,5.4,39.5,60.5,284200.0,1140.0,1565.0,20.0,531.0,1839.0,519.0,23.0,11.0,2683.0,3.5,5.7,1991.0,3.0,2.9,2006.0,2013.0,0.078,0.211,0.285,0.191,0.048,0.379,0.402,0.069,0.368,0.364,0.494,0.059
74,Coalinga city-CA,4653.0,697.0,7.1,45.5,54.5,161100.0,845.0,1157.0,18.0,335.0,1411.0,432.0,22.0,10.0,1392.0,3.7,4.9,1983.0,3.2,2.7,2004.0,2013.0,0.0,0.0,0.0,0.11,0.0,0.31,0.301,0.0,0.292,0.383,0.156,0.311
75,Colfax,977.0,694.9,5.2,58.7,41.3,182800.0,1140.0,1262.0,30.0,413.0,1415.0,485.0,34.0,17.0,1658.0,3.1,4.9,1978.0,2.1,2.6,2009.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.165,0.455,0.076,0.394,0.285,0.715,0.0
76,Colton,18281.0,1193.0,11.8,48.6,51.4,212100.0,1085.0,1188.0,22.0,585.0,1482.0,417.0,27.0,12.0,1854.0,3.9,4.8,1979.0,3.5,3.1,2002.0,2012.0,0.035,0.242,0.487,0.323,0.014,0.451,0.595,0.044,0.263,0.359,0.435,0.065
77,Colusa,2323.0,1266.5,1.8,39.8,60.2,194900.0,805.0,1106.0,21.0,533.0,1378.0,397.0,28.0,10.0,1308.0,3.4,5.1,1971.0,2.6,3.1,2001.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.033,0.079,0.041,0.457,0.699,0.082,0.086
78,Commerce,3731.0,570.7,7.5,57.8,42.2,357200.0,1014.0,1333.0,24.0,1068.0,1729.0,368.0,32.0,12.0,2874.0,4.3,4.7,1956.0,3.9,3.4,1993.0,2008.0,0.0,0.0,0.559,0.163,0.0,0.38,0.557,0.118,0.242,0.279,0.451,0.101
79,Compton city-CA,24884.0,2485.4,1.5,45.7,54.3,287300.0,1139.0,1511.0,27.0,907.0,1692.0,410.0,31.0,11.0,2829.0,4.6,4.9,1955.0,4.1,4.1,2001.0,2010.0,0.274,0.0,0.218,0.256,0.025,0.517,0.517,0.158,0.16,0.233,0.535,0.097
80,Concord,47822.0,1565.7,1.5,40.5,59.5,461700.0,1459.0,1830.0,22.0,817.0,2253.0,517.0,26.0,10.0,3241.0,3.4,5.3,1970.0,2.7,2.9,2001.0,2012.0,0.374,0.276,0.177,0.574,0.151,0.137,0.52,0.409,0.03,0.15,0.762,0.016
81,Corcoran city-CA,4198.0,559.4,6.1,54.3,45.7,122700.0,794.0,872.0,20.0,349.0,1025.0,361.0,25.0,10.0,989.0,4.1,5.0,1980.0,3.2,3.6,2000.0,2012.0,0.253,0.0,0.149,0.0,0.0,0.091,0.051,0.0,0.447,0.324,0.112,0.231
82,Corning,2900.0,817.0,1.0,52.8,47.2,155300.0,744.0,985.0,22.0,490.0,1126.0,303.0,28.0,10.0,1031.0,3.6,4.7,1981.0,2.6,3.1,2003.0,2012.0,0.301,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.476,0.473,0.065,0.331
83,Corona city-CA,51774.0,1333.1,9.8,35.1,64.9,411600.0,1462.0,1984.0,24.0,822.0,2240.0,566.0,27.0,11.0,3638.0,3.9,6.0,1989.0,3.4,3.1,2005.0,2012.0,0.279,0.343,0.075,0.46,0.112,0.307,0.574,0.315,0.06,0.114,0.802,0.025
84,Coronado,10760.0,1356.7,11.7,50.8,49.2,1423600.0,2366.0,2555.0,24.0,1735.0,3662.0,1026.0,30.0,13.0,6979.0,3.0,5.0,1972.0,2.2,2.5,2001.0,2013.0,0.261,0.537,0.138,0.198,0.602,0.109,0.15,0.786,0.01,0.014,0.912,0.004
85,Costa Mesa,42476.0,2701.4,0.8,60.9,39.1,671800.0,1722.0,2122.0,23.0,1316.0,2610.0,513.0,26.0,10.0,4156.0,3.5,4.4,1970.0,2.7,2.7,2000.0,2012.0,0.301,0.404,0.202,0.436,0.497,0.024,0.204,0.754,0.016,0.083,0.82,0.011
